"user_id (S)","active_vip_monthly_platform (S)","app_id (S)","last_vip_monthly_validation_date (N)","vip_subscription_intervals (L)"
"550899","android","115","1464816588600","[    { ""M"" : {        ""end_time"" : { ""N"" : ""1467321321369"" },        ""start_time"" : { ""N"" : ""1464722139021"" }      }    }  ]"
"550770","ios","79","1464210427820","[    { ""M"" : {        ""end_time"" : { ""N"" : ""1464210725000"" },        ""start_time"" : { ""N"" : ""1464210425000"" }      }    }  ]"
"550789","none","79","1464282979818","[    { ""M"" : {        ""end_time"" : { ""N"" : ""1464212676000"" },        ""start_time"" : { ""N"" : ""1464212376000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464212976000"" },        ""start_time"" : { ""N"" : ""1464212676000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464213276000"" },        ""start_time"" : { ""N"" : ""1464212976000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464213576000"" },        ""start_time"" : { ""N"" : ""1464213276000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464213876000"" },        ""start_time"" : { ""N"" : ""1464213576000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464214176000"" },        ""start_time"" : { ""N"" : ""1464213876000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464216350000"" },        ""start_time"" : { ""N"" : ""1464216050000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464216914000"" },        ""start_time"" : { ""N"" : ""1464216614000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464217950000"" },        ""start_time"" : { ""N"" : ""1464217650000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464218646000"" },        ""start_time"" : { ""N"" : ""1464218346000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464219954000"" },        ""start_time"" : { ""N"" : ""1464219654000"" }      }    }  ]"
"550807","ios","79","1464299390895","[    { ""M"" : {        ""end_time"" : { ""N"" : ""1464212676000"" },        ""start_time"" : { ""N"" : ""1464212376000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464212976000"" },        ""start_time"" : { ""N"" : ""1464212676000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464213276000"" },        ""start_time"" : { ""N"" : ""1464212976000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464213576000"" },        ""start_time"" : { ""N"" : ""1464213276000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464213876000"" },        ""start_time"" : { ""N"" : ""1464213576000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464214176000"" },        ""start_time"" : { ""N"" : ""1464213876000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464216350000"" },        ""start_time"" : { ""N"" : ""1464216050000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464216914000"" },        ""start_time"" : { ""N"" : ""1464216614000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464217950000"" },        ""start_time"" : { ""N"" : ""1464217650000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464218646000"" },        ""start_time"" : { ""N"" : ""1464218346000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464219954000"" },        ""start_time"" : { ""N"" : ""1464219654000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464299689000"" },        ""start_time"" : { ""N"" : ""1464299389000"" }      }    }  ]"
"550725","ios","79","1464211837651","[    { ""M"" : {        ""end_time"" : { ""N"" : ""1464212136000"" },        ""start_time"" : { ""N"" : ""1464211836000"" }      }    }  ]"
"550771","ios","79","1464212378094","[    { ""M"" : {        ""end_time"" : { ""N"" : ""1464212676000"" },        ""start_time"" : { ""N"" : ""1464212376000"" }      }    }  ]"
"550890","android","115","1464739646560","[    { ""M"" : {        ""end_time"" : { ""N"" : ""1467321321369"" },        ""start_time"" : { ""N"" : ""1464722139021"" }      }    }  ]"
"550783","ios","79","1464214090989","[    { ""M"" : {        ""end_time"" : { ""N"" : ""1464212676000"" },        ""start_time"" : { ""N"" : ""1464212376000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464212976000"" },        ""start_time"" : { ""N"" : ""1464212676000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464213276000"" },        ""start_time"" : { ""N"" : ""1464212976000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464213576000"" },        ""start_time"" : { ""N"" : ""1464213276000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464213876000"" },        ""start_time"" : { ""N"" : ""1464213576000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464214176000"" },        ""start_time"" : { ""N"" : ""1464213876000"" }      }    }  ]"
"550787","ios","79","1464216767955","[    { ""M"" : {        ""end_time"" : { ""N"" : ""1464212676000"" },        ""start_time"" : { ""N"" : ""1464212376000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464212976000"" },        ""start_time"" : { ""N"" : ""1464212676000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464213276000"" },        ""start_time"" : { ""N"" : ""1464212976000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464213576000"" },        ""start_time"" : { ""N"" : ""1464213276000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464213876000"" },        ""start_time"" : { ""N"" : ""1464213576000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464214176000"" },        ""start_time"" : { ""N"" : ""1464213876000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464216350000"" },        ""start_time"" : { ""N"" : ""1464216050000"" }      }    },    { ""M"" : {        ""end_time"" : { ""N"" : ""1464216914000"" },        ""start_time"" : { ""N"" : ""1464216614000"" }      }    }  ]"
"550806","ios","79","1464296340195","[    { ""M"" : {        ""end_time"" : { ""N"" : ""1464296638000"" },        ""start_time"" : { ""N"" : ""1464296338000"" }      }    }  ]"
